pathway,description,n_active,n_mutation_driven,n_mutation_independent,mutation_independent_pct,logistic_auroc,logistic_auprc,rf_auroc,rf_auprc,pca_auroc,pca_auprc
PI3K_AKT,PI3K/AKT/mTOR pathway - cell growth and survival,1881,41,1840,97.82030834662415,0.9971142792529635,0.9919604054290042,0.9648837231215724,0.9084098027886609,0.9340807153760624,0.8556687205743448
RAS_MAPK,RAS/MAPK pathway - proliferation and differentiation,1881,4,1877,99.78734715576822,0.9980377098920151,0.994288954938085,0.9688789740497143,0.9267688387493541,0.967255903360157,0.9260149190316678
TP53,TP53 pathway - apoptosis and cell cycle,1881,82,1799,95.64061669324828,0.9984287544993686,0.9954019039748806,0.936532989088442,0.8455758128131442,0.8852543203362041,0.7682228580489278
RTK,Receptor tyrosine kinase signaling,1881,20,1861,98.93673577884104,0.9988810470572715,0.9967527413500347,0.9758141266042253,0.9425058882946105,0.984965983830541,0.9614312814814178
